Name	PropCovLoci	Poly	Sample	AvCov	SDCov
3_6_6	0.33	0	1292	19.2	14.1
3_6_6	0.33	0	1382	63.3	51.1
3_6_6	0.33	0	249	50.6	46.6
3_6_6	0.33	0	4043	139.4	169.2
3_6_6	0.33	0	4167	61.4	48.4
3_6_6	0.33	0	4193	76.2	106.6
3_6_6	0.33	0	4293	50.0	48.0
3_6_6	0.33	0	6245	52.7	72.0
3_6_6	0.33	0	6417	57.6	45.9
3_6_6	0.33	0	666	46.9	49.1
3_6_6	0.33	0	759	8.5	5.0
3_6_6	0.33	1	1292	22.3	21.2
3_6_6	0.33	1	1382	46.0	49.0
3_6_6	0.33	1	249	45.5	51.6
3_6_6	0.33	1	4043	71.5	80.4
3_6_6	0.33	1	4167	50.3	51.1
3_6_6	0.33	1	4193	53.0	47.4
3_6_6	0.33	1	4293	43.0	35.4
3_6_6	0.33	1	6245	57.1	62.0
3_6_6	0.33	1	6417	54.7	57.3
3_6_6	0.33	1	666	56.5	59.2
3_6_6	0.33	1	759	106.4	106.6
3_6_6	0.33	1	767	85.0	85.1
3_6_6	0.42	0	1292	37.9	32.2
3_6_6	0.42	0	1382	122.9	2.5
3_6_6	0.42	0	249	96.7	67.2
3_6_6	0.42	0	4043	109.2	119.1
3_6_6	0.42	0	4167	78.7	91.6
3_6_6	0.42	0	4193	133.9	188.9
3_6_6	0.42	0	4293	58.4	37.3
3_6_6	0.42	0	6245	96.9	70.2
3_6_6	0.42	0	6417	76.3	61.1
3_6_6	0.42	0	666	68.7	62.0
3_6_6	0.42	1	1292	22.8	22.0
3_6_6	0.42	1	1382	46.7	48.7
3_6_6	0.42	1	249	48.1	49.9
3_6_6	0.42	1	4043	80.6	84.5
3_6_6	0.42	1	4167	55.5	55.6
3_6_6	0.42	1	4193	54.8	48.3
3_6_6	0.42	1	4293	46.3	36.5
3_6_6	0.42	1	6245	62.7	66.1
3_6_6	0.42	1	6417	58.0	57.4
3_6_6	0.42	1	666	63.4	62.5
3_6_6	0.42	1	759	101.3	101.7
3_6_6	0.42	1	767	84.7	84.8
3_6_6	0.5	0	1292	58.9	44.9
3_6_6	0.5	0	1382	235.8	86.4
3_6_6	0.5	0	249	65.0	78.8
3_6_6	0.5	0	4043	80.2	65.4
3_6_6	0.5	0	4167	66.7	57.3
3_6_6	0.5	0	4193	28.1	31.4
3_6_6	0.5	0	4293	41.8	31.2
3_6_6	0.5	0	6245	109.3	105.1
3_6_6	0.5	0	6417	46.0	44.8
3_6_6	0.5	0	666	58.9	43.4
3_6_6	0.5	1	1292	23.8	23.0
3_6_6	0.5	1	1382	49.5	50.0
3_6_6	0.5	1	249	52.0	51.1
3_6_6	0.5	1	4043	85.7	87.1
3_6_6	0.5	1	4167	61.9	55.9
3_6_6	0.5	1	4193	56.6	48.2
3_6_6	0.5	1	4293	49.5	38.1
3_6_6	0.5	1	6245	72.6	68.9
3_6_6	0.5	1	6417	62.2	60.4
3_6_6	0.5	1	666	72.6	68.1
3_6_6	0.5	1	759	102.5	103.1
3_6_6	0.5	1	767	87.3	85.7
3_6_6	0.58	0	1292	42.8	0
3_6_6	0.58	0	1382	12.3	0.7
3_6_6	0.58	0	249	90.1	50.5
3_6_6	0.58	0	4043	52.0	42.4
3_6_6	0.58	0	4167	127.2	136.0
3_6_6	0.58	0	4193	8.4	0
3_6_6	0.58	0	4293	34.8	18.0
3_6_6	0.58	0	6245	50.4	5.6
3_6_6	0.58	0	6417	36.8	0
3_6_6	0.58	0	666	112.7	77.1
3_6_6	0.58	1	1292	26.4	23.6
3_6_6	0.58	1	1382	53.2	51.3
3_6_6	0.58	1	249	60.9	58.4
3_6_6	0.58	1	4043	94.4	93.0
3_6_6	0.58	1	4167	71.4	64.0
3_6_6	0.58	1	4193	58.4	55.7
3_6_6	0.58	1	4293	52.1	41.7
3_6_6	0.58	1	6245	78.4	71.3
3_6_6	0.58	1	6417	72.8	67.6
3_6_6	0.58	1	666	82.1	75.9
3_6_6	0.58	1	759	112.8	107.3
3_6_6	0.58	1	767	86.0	90.4
3_6_6	0.67	1	1292	28.2	26.3
3_6_6	0.67	1	1382	63.1	57.6
3_6_6	0.67	1	249	65.2	58.5
3_6_6	0.67	1	4043	108.1	96.5
