Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdensity	AvHet	SDHet	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdensity	CummAvHet	CummSDHet
7_12_10	0.75	1447	1447	1.0	23.9	9.9	0.10228	0.04277	0.07844	0.05283	3237	3234	1.0	25.1	10.1	0.10695	0.04316	0.07321	0.04794
7_12_10	0.67	1878	1878	1.0	22.2	9.3	0.09505	0.04008	0.07867	0.05507	5115	5112	1.0	24.0	9.9	0.10257	0.04244	0.07522	0.05074
7_12_10	0.58	2386	2381	1.0	20.1	8.7	0.08618	0.03751	0.07964	0.06081	7501	7493	1.0	22.8	9.7	0.09736	0.04164	0.07662	0.05418
7_12_10	0.5	3159	3153	1.0	17.4	8.0	0.07495	0.03473	0.08222	0.06838	10660	10646	1.0	21.2	9.6	0.09073	0.04101	0.07828	0.0588
7_12_10	0.42	4139	4124	1.0	14.8	7.5	0.06379	0.03228	0.07936	0.07524	14799	14770	1.0	19.4	9.5	0.08321	0.04061	0.07858	0.06381
7_12_10	0.33	5925	5883	0.99	12.0	6.8	0.05193	0.02934	0.08111	0.0908	20724	20653	1.0	17.3	9.4	0.0743	0.0403	0.0793	0.07254
7_12_10	0.25	9446	9207	0.97	9.1	5.8	0.03962	0.02528	0.08374	0.11795	30170	29860	0.99	14.7	9.3	0.06361	0.03971	0.08067	0.08906
7_12_10	0.17	23526	20691	0.88	5.5	4.2	0.02427	0.0187	0.08551	0.16347	53696	50551	0.94	10.9	8.9	0.0475	0.03806	0.08265	0.12501
7_12_10	0.08	91957	6890	0.07	2.4	2.6	0.01076	0.01202	1.0	0.0	145653	57441	0.39	9.9	8.8	0.0431	0.03788	0.19269	0.32029
7_6_10	1.0	259	259	1.0	26.4	10.5	0.11283	0.04464	0.06099	0.03215	259	259	1.0	26.4	10.5	0.11283	0.04464	0.06099	0.03215
7_6_10	0.92	526	526	1.0	28.6	11.0	0.12173	0.04609	0.06147	0.03796	785	785	1.0	27.9	10.8	0.1188	0.04578	0.06131	0.03613
7_6_10	0.83	1059	1058	1.0	25.4	9.9	0.10802	0.04179	0.07344	0.04771	1844	1843	1.0	26.4	10.4	0.11261	0.04385	0.06827	0.04356
7_6_10	0.75	1528	1526	1.0	24.0	9.9	0.10265	0.0427	0.0757	0.051	3372	3369	1.0	25.3	10.2	0.1081	0.04361	0.07163	0.04722
7_6_10	0.67	2021	2019	1.0	22.0	9.3	0.09406	0.03959	0.07566	0.05363	5393	5388	1.0	24.1	10.0	0.10284	0.04269	0.07314	0.04975
7_6_10	0.58	2561	2559	1.0	20.1	8.6	0.08626	0.03718	0.07489	0.05808	7954	7947	1.0	22.8	9.8	0.0975	0.04172	0.07371	0.05258
7_6_10	0.5	3390	3385	1.0	17.5	7.8	0.07529	0.03395	0.07836	0.06927	11344	11332	1.0	21.2	9.6	0.09086	0.04084	0.07509	0.05811
7_6_10	0.42	4373	4361	1.0	14.8	7.4	0.06368	0.03211	0.07561	0.07301	15717	15693	1.0	19.4	9.5	0.08331	0.04049	0.07524	0.0626
7_6_10	0.33	6188	6141	0.99	12.0	6.8	0.05185	0.0294	0.07651	0.08906	21905	21834	1.0	17.3	9.4	0.07446	0.04027	0.0756	0.07105
7_6_10	0.25	9867	9625	0.98	9.0	5.7	0.03921	0.02478	0.07636	0.1126	31772	31459	0.99	14.8	9.3	0.06368	0.03971	0.07583	0.08592
7_6_10	0.17	24108	21244	0.88	5.4	4.1	0.02422	0.0185	0.08115	0.15963	55880	52703	0.94	11.0	8.9	0.04777	0.03813	0.07797	0.12118
7_6_10	0.08	92533	6622	0.07	2.1	2.0	0.00954	0.00912	1.0	0.0	148413	59325	0.4	10.0	8.9	0.0435	0.03803	0.18089	0.31201
7_1_10	1.0	222	222	1.0	25.7	10.9	0.10913	0.04532	0.0593	0.03274	222	222	1.0	25.7	10.9	0.10913	0.04532	0.0593	0.03274
7_1_10	0.92	494	494	1.0	27.3	11.8	0.11587	0.04847	0.0581	0.037	716	716	1.0	26.8	11.5	0.11378	0.04759	0.05847	0.03572
7_1_10	0.83	1100	1099	1.0	24.8	10.0	0.10566	0.04249	0.07005	0.05363	1816	1815	1.0	25.6	10.7	0.10886	0.04473	0.06548	0.04771
7_1_10	0.75	1552	1551	1.0	23.1	9.7	0.09883	0.04155	0.06898	0.04433	3368	3366	1.0	24.5	10.3	0.10424	0.04358	0.06709	0.04621
7_1_10	0.67	2129	2128	1.0	21.5	9.2	0.09192	0.03922	0.06843	0.05122	5497	5494	1.0	23.3	10.0	0.09947	0.04237	0.06761	0.04821
7_1_10	0.58	2870	2870	1.0	19.5	8.6	0.08377	0.03712	0.06498	0.05445	8367	8364	1.0	22.0	9.7	0.09408	0.04132	0.06671	0.05045
7_1_10	0.5	3852	3847	1.0	17.2	7.9	0.07406	0.03413	0.06746	0.06363	12219	12211	1.0	20.5	9.5	0.08777	0.04029	0.06694	0.05495
7_1_10	0.42	5099	5083	1.0	14.4	7.4	0.06236	0.03197	0.0651	0.06929	17318	17294	1.0	18.7	9.3	0.08031	0.03975	0.0664	0.05952
7_1_10	0.33	7087	7040	0.99	11.8	6.7	0.05121	0.02908	0.06404	0.08353	24405	24334	1.0	16.7	9.2	0.07189	0.03927	0.06572	0.06736
7_1_10	0.25	11115	10852	0.98	8.8	5.6	0.03859	0.02438	0.06186	0.10113	35520	35186	0.99	14.3	9.0	0.06162	0.03855	0.06453	0.07934
7_1_10	0.17	25575	22560	0.88	5.4	4.1	0.02385	0.01824	0.06396	0.14222	61095	57746	0.95	10.8	8.7	0.04686	0.03708	0.06431	0.10834
7_1_10	0.08	95972	5206	0.05	1.5	1.3	0.00686	0.00593	1.0	0.0	157067	62952	0.4	10.0	8.7	0.04356	0.03722	0.14169	0.27782
7_6_12	1.0	265	265	1.0	26.6	10.6	0.1134	0.04501	0.05946	0.02988	265	265	1.0	26.6	10.6	0.1134	0.04501	0.05946	0.02988
7_6_12	0.92	551	551	1.0	29.3	11.1	0.12497	0.04675	0.06191	0.03629	816	816	1.0	28.4	11.0	0.12121	0.04648	0.06111	0.03434
7_6_12	0.83	1086	1086	1.0	26.1	10.2	0.11109	0.04273	0.07285	0.04618	1902	1902	1.0	27.1	10.6	0.11543	0.04465	0.06781	0.04191
7_6_12	0.75	1523	1522	1.0	24.2	9.9	0.10359	0.04281	0.07559	0.05118	3425	3424	1.0	25.8	10.4	0.11016	0.04423	0.07127	0.04642
7_6_12	0.67	1994	1991	1.0	22.4	9.4	0.09615	0.04053	0.07565	0.05512	5419	5415	1.0	24.6	10.2	0.10501	0.04343	0.07288	0.04984
7_6_12	0.58	2576	2574	1.0	20.6	9.0	0.08832	0.03859	0.07507	0.05899	7995	7989	1.0	23.3	10.0	0.09963	0.04265	0.07359	0.05296
7_6_12	0.5	3305	3299	1.0	17.9	8.3	0.07733	0.03576	0.07775	0.06632	11300	11288	1.0	21.7	9.8	0.09311	0.042	0.0748	0.05722
7_6_12	0.42	4343	4332	1.0	15.0	7.6	0.06483	0.03303	0.07552	0.07382	15643	15620	1.0	19.9	9.7	0.08527	0.04168	0.075	0.06227
7_6_12	0.33	6161	6115	0.99	12.3	6.9	0.05332	0.03012	0.07495	0.08884	21804	21735	1.0	17.7	9.7	0.07628	0.04136	0.07499	0.07076
7_6_12	0.25	9793	9558	0.98	9.3	5.9	0.04065	0.02604	0.07554	0.11278	31597	31293	0.99	15.2	9.5	0.0654	0.0408	0.07516	0.0858
7_6_12	0.17	23575	20804	0.88	5.6	4.3	0.02494	0.01925	0.08077	0.15891	55172	52097	0.94	11.3	9.1	0.04924	0.03925	0.0774	0.12047
7_6_12	0.08	89283	6394	0.07	2.1	2.0	0.0095	0.00907	1.0	0.0	144455	58491	0.4	10.3	9.1	0.0449	0.03917	0.17825	0.30952
7_3_10	1.0	248	248	1.0	26.8	11.3	0.11338	0.04623	0.05789	0.03093	248	248	1.0	26.8	11.3	0.11338	0.04623	0.05789	0.03093
7_3_10	0.92	511	511	1.0	28.0	10.7	0.11933	0.04528	0.05973	0.0356	759	759	1.0	27.6	10.9	0.11739	0.04564	0.05913	0.03413
7_3_10	0.83	1068	1067	1.0	25.5	10.1	0.10841	0.0429	0.0694	0.04471	1827	1826	1.0	26.3	10.5	0.11214	0.04427	0.06513	0.04095
7_3_10	0.75	1539	1537	1.0	23.8	9.6	0.10192	0.04128	0.07244	0.04314	3366	3363	1.0	25.2	10.2	0.10747	0.04323	0.06847	0.04212
7_3_10	0.67	2039	2037	1.0	21.9	9.3	0.09349	0.03965	0.07136	0.05132	5405	5400	1.0	23.9	10.0	0.1022	0.04246	0.06956	0.04582
7_3_10	0.58	2660	2659	1.0	19.7	8.6	0.0848	0.03693	0.06996	0.05606	8065	8059	1.0	22.5	9.7	0.09646	0.04153	0.06969	0.04943
7_3_10	0.5	3607	3599	1.0	17.4	7.8	0.07506	0.03383	0.07334	0.0645	11672	11658	1.0	21.0	9.5	0.08985	0.04054	0.07082	0.05455
7_3_10	0.42	4696	4683	1.0	14.8	7.4	0.0637	0.03215	0.06921	0.06964	16368	16341	1.0	19.2	9.4	0.08236	0.0401	0.07036	0.05928
7_3_10	0.33	6644	6597	0.99	11.9	6.7	0.05146	0.02903	0.07106	0.08617	23012	22938	1.0	17.1	9.3	0.07347	0.03979	0.07056	0.06811
7_3_10	0.25	10407	10170	0.98	8.9	5.6	0.03902	0.02462	0.07034	0.10784	33419	33108	0.99	14.6	9.1	0.06289	0.03919	0.07049	0.08237
7_3_10	0.17	24703	21790	0.88	5.4	4.1	0.02405	0.0183	0.07475	0.15354	58122	54898	0.94	10.9	8.8	0.04747	0.03769	0.07218	0.11599
7_3_10	0.08	93128	6191	0.07	1.9	1.6	0.00834	0.0074	1.0	0.0	151250	61089	0.4	10.0	8.8	0.04351	0.0377	0.16621	0.30082
7_10_6	1.0	211	211	1.0	24.4	9.5	0.10415	0.04053	0.06201	0.03192	211	211	1.0	24.4	9.5	0.10415	0.04053	0.06201	0.03192
7_10_6	0.92	396	396	1.0	26.1	9.7	0.11076	0.04008	0.06483	0.03838	607	607	1.0	25.5	9.7	0.10846	0.04033	0.06385	0.03627
7_10_6	0.83	945	942	1.0	23.7	9.2	0.10093	0.03943	0.07642	0.04847	1552	1549	1.0	24.4	9.4	0.10388	0.03994	0.0715	0.0445
7_10_6	0.75	1363	1361	1.0	22.0	9.1	0.09407	0.03879	0.08327	0.05716	2915	2910	1.0	23.3	9.3	0.09929	0.0397	0.077	0.05115
7_10_6	0.67	1805	1803	1.0	20.5	8.4	0.08797	0.03614	0.0833	0.05546	4720	4713	1.0	22.2	9.1	0.09496	0.03877	0.07941	0.05292
7_10_6	0.58	2245	2243	1.0	18.6	8.1	0.07984	0.03472	0.08501	0.06013	6965	6956	1.0	21.1	8.9	0.09009	0.03817	0.08121	0.05541
7_10_6	0.5	3086	3080	1.0	16.2	7.3	0.06962	0.03142	0.08801	0.06982	10051	10036	1.0	19.6	8.8	0.08381	0.03744	0.0833	0.06028
7_10_6	0.42	4125	4109	1.0	13.6	6.8	0.05842	0.02942	0.08656	0.07629	14176	14145	1.0	17.8	8.7	0.07643	0.03713	0.08425	0.06535
7_10_6	0.33	5929	5878	0.99	10.9	6.2	0.0473	0.02681	0.08705	0.09475	20105	20023	1.0	15.8	8.6	0.06788	0.03689	0.08507	0.07519
7_10_6	0.25	9609	9351	0.97	8.2	5.1	0.03565	0.02245	0.08964	0.12061	29714	29374	0.99	13.4	8.5	0.05762	0.03624	0.08652	0.09213
7_10_6	0.17	25371	22138	0.87	4.9	3.7	0.02184	0.01648	0.09131	0.16815	55085	51512	0.94	9.7	8.0	0.04224	0.03434	0.08858	0.13037
7_10_6	0.08	105057	8057	0.08	2.4	2.6	0.01099	0.01207	1.0	0.0	160142	59569	0.37	8.7	7.9	0.03802	0.03397	0.21186	0.33445
5_12_12	1.0	280	280	1.0	26.8	11.0	0.11485	0.04712	0.06265	0.03784	280	280	1.0	26.8	11.0	0.11485	0.04712	0.06265	0.03784
