Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdensity	AvHet	SDHet	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdensity	CummAvHet	CummSDHet
7_3_12	0.17	23948	21137	0.88	5.5	4.1	0.02449	0.0185	0.07436	0.15343	50665	47553	0.94	8.7	5.9	0.03819	0.0255	0.07235	0.1213
7_3_12	0.08	89842	5966	0.07	1.8	1.6	0.00832	0.00728	1.0	0.0	140507	53519	0.38	8.0	6.0	0.03486	0.02593	0.17575	0.31354
7_6_12	1.0	102	102	1.0	16.3	4.5	0.07009	0.01964	0.05842	0.03376	102	102	1.0	16.3	4.5	0.07009	0.01964	0.05842	0.03376
7_6_12	0.92	152	152	1.0	16.6	4.3	0.07166	0.0186	0.05913	0.04128	254	254	1.0	16.5	4.4	0.07103	0.019	0.05884	0.03836
7_6_12	0.83	417	417	1.0	16.1	4.4	0.06907	0.01901	0.07721	0.05486	671	671	1.0	16.3	4.4	0.06982	0.01902	0.07026	0.05004
7_6_12	0.75	702	701	1.0	15.6	4.8	0.06703	0.02088	0.07972	0.06174	1373	1372	1.0	15.9	4.6	0.06839	0.02003	0.07509	0.0565
7_6_12	0.67	1046	1043	1.0	15.3	5.0	0.06551	0.02171	0.08052	0.06157	2419	2415	1.0	15.7	4.8	0.06715	0.02082	0.07744	0.05879
7_6_12	0.58	1563	1561	1.0	14.8	5.0	0.06359	0.02171	0.07871	0.06264	3982	3976	1.0	15.3	4.9	0.06575	0.02124	0.07794	0.06033
7_6_12	0.5	2397	2391	1.0	13.9	5.2	0.0601	0.02236	0.08002	0.06928	6379	6367	1.0	14.8	5.0	0.06363	0.02184	0.07872	0.06384
7_6_12	0.42	3647	3636	1.0	12.6	5.4	0.05452	0.02355	0.07561	0.07471	10026	10003	1.0	14.0	5.3	0.06032	0.0229	0.07759	0.068
7_6_12	0.33	5659	5613	0.99	11.0	5.6	0.04778	0.02424	0.07537	0.08972	15685	15616	1.0	12.9	5.6	0.05581	0.02415	0.07679	0.07653
7_6_12	0.25	9520	9285	0.98	8.8	5.2	0.03849	0.02291	0.07533	0.11318	25205	24901	0.99	11.4	5.8	0.04935	0.02513	0.07625	0.09192
7_6_12	0.17	23515	20744	0.88	5.5	4.2	0.02469	0.01867	0.08072	0.15896	48720	45645	0.94	8.7	5.9	0.03814	0.02557	0.07828	0.12688
7_6_12	0.08	89283	6394	0.07	2.1	2.0	0.0095	0.00907	1.0	0.0	138003	52039	0.38	7.9	6.0	0.03462	0.02592	0.19153	0.32509
