Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdenisty	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdenisty
5_3_2	0.83	935	935	1.0	15.3	6.0	0.06502	0.02536	1900	1899	1.0	15.9	6.4	0.06748	0.02718
5_3_2	0.75	1351	1351	1.0	14.6	6.3	0.06183	0.02659	3251	3250	1.0	15.3	6.4	0.06513	0.02707
5_3_2	0.67	1793	1792	1.0	13.1	5.9	0.05565	0.02468	5044	5042	1.0	14.5	6.3	0.06176	0.02664
5_3_2	0.58	2489	2483	1.0	11.5	5.5	0.04899	0.02346	7533	7525	1.0	13.5	6.2	0.05755	0.02632
5_3_2	0.5	3455	3443	1.0	9.9	5.1	0.04247	0.02176	10988	10968	1.0	12.4	6.1	0.05282	0.02594
5_3_2	0.42	5070	5018	0.99	8.4	4.8	0.03607	0.02046	16058	15986	1.0	11.1	6.0	0.04756	0.02556
5_3_2	0.33	8014	7819	0.98	6.8	4.2	0.0294	0.01805	24072	23805	0.99	9.7	5.9	0.04159	0.02487
5_3_2	0.25	13916	12980	0.93	5.1	3.5	0.02233	0.01525	37988	36785	0.97	8.1	5.6	0.0348	0.02381
5_3_2	0.17	31914	25423	0.8	3.4	2.6	0.01496	0.01127	69902	62208	0.89	6.2	5.2	0.02669	0.02196
5_3_2	0.08	181619	11801	0.06	1.9	1.7	0.00873	0.00745	251521	74009	0.29	5.5	5.0	0.02382	0.02139
3_15_3	1.0	527	526	1.0	20.5	8.4	0.08687	0.03534	527	526	1.0	20.5	8.4	0.08687	0.03534
3_15_3	0.92	977	977	1.0	19.7	8.3	0.0838	0.03482	1504	1503	1.0	20.0	8.3	0.08487	0.03502
3_15_3	0.83	1377	1376	1.0	19.2	7.8	0.08129	0.03314	2881	2879	1.0	19.6	8.1	0.08316	0.03418
3_15_3	0.75	1775	1775	1.0	18.0	7.7	0.07663	0.0329	4656	4654	1.0	19.0	8.0	0.08067	0.03384
3_15_3	0.67	2213	2210	1.0	16.3	7.6	0.06971	0.03214	6869	6864	1.0	18.1	8.0	0.07714	0.03369
3_15_3	0.58	2783	2778	1.0	14.6	7.0	0.0625	0.02994	9652	9642	1.0	17.1	7.9	0.07293	0.03332
3_15_3	0.5	3647	3637	1.0	12.6	6.7	0.05379	0.02852	13299	13279	1.0	15.9	7.8	0.06769	0.03319
3_15_3	0.42	5039	4989	0.99	10.5	6.2	0.04506	0.0265	18338	18268	1.0	14.4	7.8	0.06151	0.03308
3_15_3	0.33	7639	7493	0.98	8.4	5.4	0.03627	0.02349	25977	25761	0.99	12.6	7.7	0.05417	0.03268
3_15_3	0.25	12694	11992	0.94	6.3	4.5	0.02757	0.01967	38671	37753	0.98	10.6	7.4	0.04572	0.0317
3_15_3	0.17	28140	22941	0.82	4.0	3.3	0.01806	0.01475	66811	60694	0.91	8.1	7.0	0.03526	0.02978
3_15_3	0.08	157178	10358	0.07	2.8	3.1	0.01289	0.01545	223989	71052	0.32	7.3	6.8	0.032	0.02924
3_6_3	1.0	483	483	1.0	19.0	7.9	0.08053	0.0332	483	483	1.0	19.0	7.9	0.08053	0.0332
3_6_3	0.92	971	971	1.0	19.0	7.5	0.08075	0.03151	1454	1454	1.0	19.0	7.6	0.08068	0.03207
3_6_3	0.83	1436	1436	1.0	18.2	7.3	0.07705	0.03086	2890	2890	1.0	18.6	7.5	0.07888	0.03152
3_6_3	0.75	1848	1848	1.0	17.4	7.2	0.07388	0.03073	4738	4738	1.0	18.1	7.4	0.07693	0.0313
3_6_3	0.67	2364	2362	1.0	15.3	6.8	0.06545	0.02885	7102	7100	1.0	17.2	7.3	0.07311	0.03098
3_6_3	0.58	2965	2962	1.0	13.8	6.4	0.05884	0.02742	10067	10062	1.0	16.2	7.2	0.06891	0.03067
3_6_3	0.5	3924	3910	1.0	11.9	6.0	0.05073	0.02574	13991	13972	1.0	15.0	7.2	0.06382	0.03049
3_6_3	0.42	5365	5309	0.99	9.9	5.5	0.04252	0.02361	19356	19281	1.0	13.6	7.1	0.05796	0.03029
3_6_3	0.33	8129	7965	0.98	7.9	4.9	0.03444	0.02116	27485	27246	0.99	11.9	7.0	0.05108	0.02991
3_6_3	0.25	13517	12782	0.95	5.9	4.0	0.02604	0.01751	41002	40028	0.98	10.0	6.8	0.04309	0.02904
3_6_3	0.17	29683	24220	0.82	3.8	2.9	0.01707	0.01283	70685	64248	0.91	7.7	6.4	0.03328	0.02732
3_6_3	0.08	161404	9668	0.06	2.3	2.2	0.01034	0.01025	232089	73916	0.32	7.0	6.3	0.03028	0.02688
5_8_1	1.0	189	188	0.99	15.9	7.2	0.06731	0.02932	189	188	0.99	15.9	7.2	0.06731	0.02932
5_8_1	0.92	391	391	1.0	15.3	6.9	0.06501	0.02911	580	579	1.0	15.5	7.0	0.06576	0.02918
5_8_1	0.83	650	649	1.0	15.5	6.8	0.06564	0.02854	1230	1228	1.0	15.5	6.9	0.0657	0.02883
5_8_1	0.75	932	932	1.0	14.3	6.7	0.06058	0.02823	2162	2160	1.0	15.0	6.8	0.06349	0.02868
5_8_1	0.67	1308	1305	1.0	13.3	6.4	0.0568	0.02701	3470	3465	1.0	14.4	6.7	0.06097	0.02825
5_8_1	0.58	1818	1813	1.0	12.2	6.3	0.05166	0.02658	5288	5278	1.0	13.6	6.6	0.05777	0.02803
5_8_1	0.5	2528	2511	0.99	10.4	6.0	0.04473	0.0258	7816	7789	1.0	12.6	6.6	0.05357	0.028
5_8_1	0.42	3809	3761	0.99	8.9	5.5	0.03801	0.02326	11625	11550	0.99	11.4	6.5	0.0485	0.02754
5_8_1	0.33	6001	5808	0.97	6.9	4.7	0.0297	0.02021	17626	17358	0.98	9.9	6.3	0.04221	0.02683
5_8_1	0.25	11042	10106	0.92	5.2	4.1	0.02264	0.01789	28668	27464	0.96	8.2	6.0	0.03501	0.02573
5_8_1	0.17	27519	20964	0.76	3.5	3.2	0.01558	0.01388	56187	48428	0.86	6.2	5.5	0.0266	0.02348
5_8_1	0.08	198479	18292	0.09	3.1	3.1	0.0141	0.01406	254666	66720	0.26	5.3	5.2	0.02317	0.02203
5_4_2	1.0	353	352	1.0	16.9	7.0	0.07184	0.03019	353	352	1.0	16.9	7.0	0.07184	0.03019
5_4_2	0.92	644	644	1.0	17.1	6.8	0.07243	0.02854	997	996	1.0	17.0	6.9	0.07222	0.02912
5_4_2	0.83	975	975	1.0	16.2	6.4	0.06857	0.02724	1972	1971	1.0	16.6	6.7	0.07041	0.02826
5_4_2	0.75	1358	1357	1.0	15.1	6.5	0.06414	0.02769	3330	3328	1.0	16.0	6.7	0.06786	0.02819
5_4_2	0.67	1809	1808	1.0	13.7	6.1	0.05819	0.02579	5139	5136	1.0	15.2	6.6	0.06445	0.02776
5_4_2	0.58	2415	2410	1.0	12.0	5.7	0.05097	0.02421	7554	7546	1.0	14.1	6.5	0.06015	0.02741
5_4_2	0.5	3353	3344	1.0	10.4	5.4	0.04442	0.02294	10907	10890	1.0	13.0	6.4	0.05532	0.0271
5_4_2	0.42	4772	4723	0.99	8.7	4.9	0.03736	0.02088	15679	15613	1.0	11.7	6.3	0.04989	0.02669
5_4_2	0.33	7583	7403	0.98	7.1	4.4	0.03048	0.01885	23262	23016	0.99	10.2	6.1	0.04364	0.02607
5_4_2	0.25	13130	12271	0.93	5.3	3.7	0.02309	0.01598	36392	35287	0.97	8.5	5.9	0.0365	0.02506
5_4_2	0.17	30271	24180	0.8	3.5	2.7	0.01537	0.01176	66663	59467	0.89	6.5	5.5	0.02791	0.02316
5_4_2	0.08	175163	12175	0.07	2.2	2.0	0.00974	0.00883	241826	71642	0.3	5.7	5.3	0.02482	0.02248
5_15_1	1.0	188	187	0.99	16.6	7.9	0.07074	0.03381	188	187	0.99	16.6	7.9	0.07074	0.03381
5_15_1	0.92	374	374	1.0	15.3	6.9	0.06523	0.0293	562	561	1.0	15.7	7.3	0.06706	0.03096
5_15_1	0.83	641	641	1.0	16.0	7.1	0.06789	0.02985	1203	1202	1.0	15.9	7.2	0.0675	0.03036
5_15_1	0.75	885	883	1.0	14.5	6.9	0.06182	0.02924	2088	2085	1.0	15.3	7.1	0.0651	0.03002
5_15_1	0.67	1277	1272	1.0	13.9	7.0	0.05923	0.0295	3365	3357	1.0	14.8	7.1	0.06288	0.02995
5_15_1	0.58	1729	1725	1.0	12.5	6.6	0.05329	0.02807	5094	5082	1.0	14.0	7.0	0.05962	0.02967
5_15_1	0.5	2456	2440	0.99	10.8	6.4	0.0464	0.02722	7550	7522	1.0	13.0	7.0	0.05533	0.02955
5_15_1	0.42	3730	3686	0.99	9.2	5.9	0.0393	0.02516	11280	11208	0.99	11.7	6.9	0.05006	0.02917
5_15_1	0.33	5915	5729	0.97	7.2	5.1	0.03094	0.02189	17195	16937	0.98	10.2	6.7	0.04359	0.02841
5_15_1	0.25	10856	9979	0.92	5.5	4.5	0.02396	0.0197	28051	26916	0.96	8.5	6.4	0.03631	0.02723
5_15_1	0.17	27209	20734	0.76	3.7	3.5	0.01636	0.01537	55260	47650	0.86	6.4	5.8	0.02763	0.02489
5_15_1	0.08	197326	19308	0.1	3.5	3.6	0.01562	0.01684	252586	66958	0.27	5.5	5.4	0.02417	0.0235
5_6_1	1.0	185	185	1.0	15.6	6.8	0.06624	0.02914	185	185	1.0	15.6	6.8	0.06624	0.02914
5_6_1	0.92	365	365	1.0	14.7	6.6	0.06278	0.02756	550	550	1.0	15.0	6.7	0.06395	0.02812
5_6_1	0.83	657	657	1.0	15.3	6.5	0.06506	0.0277	1207	1207	1.0	15.2	6.6	0.06455	0.02789
5_6_1	0.75	946	945	1.0	13.8	6.2	0.05859	0.02611	2153	2152	1.0	14.6	6.4	0.06194	0.02728
