Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdensity	AvHet	SDHet	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdensity	CummAvHet	CummSDHet
3_12_12	0.83	1284	1284	1.0	26.2	10.1	0.11093	0.04288	0.06892	0.04301	2164	2164	1.0	26.8	10.3	0.11382	0.04363	0.06511	0.04043
3_12_12	0.75	1786	1786	1.0	24.1	9.6	0.10251	0.04133	0.07285	0.04433	3950	3950	1.0	25.6	10.1	0.10871	0.04297	0.06861	0.04241
3_12_12	0.67	2475	2474	1.0	22.1	9.3	0.09449	0.04012	0.07186	0.05247	6425	6424	1.0	24.3	9.9	0.10323	0.04246	0.06986	0.04657
3_12_12	0.58	3112	3110	1.0	19.9	8.5	0.08521	0.03648	0.07318	0.0579	9537	9534	1.0	22.8	9.7	0.09735	0.04148	0.07095	0.05056
3_12_12	0.5	3917	3912	1.0	17.4	8.3	0.07462	0.03564	0.07442	0.06583	13454	13446	1.0	21.3	9.6	0.09074	0.04118	0.07196	0.05546
3_12_12	0.42	4984	4968	1.0	14.8	7.5	0.06369	0.03265	0.07137	0.07113	18438	18414	1.0	19.5	9.6	0.08344	0.04087	0.0718	0.06009
3_12_12	0.33	6922	6863	0.99	12.2	7.0	0.05276	0.03026	0.07137	0.08685	25360	25277	1.0	17.5	9.5	0.07511	0.04064	0.07168	0.0684
3_12_12	0.25	11522	11222	0.97	9.0	5.8	0.03977	0.02538	0.07232	0.1102	36882	36499	0.99	14.9	9.4	0.06424	0.0401	0.07188	0.08351
3_12_12	0.17	27910	24475	0.88	5.5	4.2	0.0245	0.01912	0.07865	0.16093	64792	60974	0.94	11.1	9.0	0.04829	0.03858	0.07459	0.12075
3_12_12	0.08	118954	6661	0.06	2.2	2.3	0.01016	0.01192	1.0	0.0	183746	67635	0.37	10.2	9.0	0.04454	0.03854	0.16573	0.29863
3_10_12	1.0	279	279	1.0	27.1	10.6	0.11565	0.04532	0.06023	0.03148	279	279	1.0	27.1	10.6	0.11565	0.04532	0.06023	0.03148
3_10_12	0.92	618	618	1.0	28.3	10.3	0.12019	0.04336	0.05918	0.03599	897	897	1.0	27.9	10.4	0.11877	0.04401	0.05951	0.03464
3_10_12	0.83	1300	1300	1.0	26.1	9.9	0.11048	0.0419	0.06968	0.04289	2197	2197	1.0	26.8	10.2	0.11386	0.04296	0.06552	0.04003
3_10_12	0.75	1819	1818	1.0	24.1	9.7	0.10223	0.04155	0.07185	0.04376	4016	4015	1.0	25.6	10.1	0.1086	0.04271	0.06839	0.04188
3_10_12	0.67	2514	2514	1.0	22.1	9.3	0.0945	0.03993	0.07233	0.05248	6530	6529	1.0	24.2	9.9	0.10317	0.04222	0.06991	0.04628
3_10_12	0.58	3193	3192	1.0	20.2	8.7	0.08644	0.03742	0.07241	0.05628	9723	9721	1.0	22.9	9.7	0.09767	0.04146	0.07073	0.0498
3_10_12	0.5	3950	3945	1.0	17.5	8.4	0.0751	0.03607	0.07262	0.06354	13673	13666	1.0	21.4	9.7	0.09116	0.04126	0.07127	0.05413
3_10_12	0.42	5067	5049	1.0	14.8	7.6	0.06383	0.03282	0.07027	0.07153	18740	18715	1.0	19.6	9.6	0.08379	0.041	0.071	0.05933
