Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdensity	AvHet	SDHet	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdensity	CummAvHet	CummSDHet
3_15_3	0.33	2914	2836	0.97	4.5	1.8	0.01971	0.00811	0.08423	0.10263	5225	5108	0.98	4.8	1.8	0.02077	0.00796	0.08614	0.09695
3_15_3	0.25	7541	7117	0.94	4.0	1.9	0.01764	0.00841	0.09019	0.13122	12766	12225	0.96	4.3	1.9	0.01895	0.00837	0.0885	0.11813
3_15_3	0.17	29137	24159	0.83	3.1	1.8	0.01361	0.00795	0.09557	0.18092	41903	36384	0.87	3.5	1.9	0.0154	0.00848	0.0932	0.16259
3_15_3	0.08	176126	10874	0.06	1.9	1.5	0.00882	0.00739	1.0	0.0	218029	47258	0.22	3.1	1.9	0.01389	0.00869	0.30185	0.40746
3_8_2	1.0	3	3	1.0	5.0	1.7	0.02163	0.00772	0.06098	0.05312	3	3	1.0	5.0	1.7	0.02163	0.00772	0.06098	0.05312
3_8_2	0.92	4	4	1.0	5.0	0.8	0.02089	0.00291	0.10399	0.08782	7	7	1.0	5.0	1.2	0.02121	0.00493	0.08556	0.07297
3_8_2	0.83	24	24	1.0	4.8	1.3	0.02041	0.00549	0.10023	0.10824	31	31	1.0	4.8	1.2	0.02059	0.0053	0.09692	0.10043
3_8_2	0.75	38	37	0.97	4.9	1.4	0.02109	0.00586	0.09149	0.0507	69	68	0.99	4.9	1.3	0.02086	0.00558	0.09396	0.07684
3_8_2	0.67	119	118	0.99	4.3	1.6	0.01855	0.00692	0.116	0.10422	188	186	0.99	4.5	1.5	0.01939	0.00654	0.10794	0.09551
3_8_2	0.58	192	191	0.99	4.6	1.3	0.01966	0.00569	0.10359	0.08967	380	377	0.99	4.5	1.4	0.01953	0.00612	0.10574	0.0925
3_8_2	0.5	483	477	0.99	4.6	1.4	0.01956	0.00607	0.09115	0.08642	863	854	0.99	4.6	1.4	0.01955	0.00609	0.09759	0.0894
3_8_2	0.42	1090	1067	0.98	4.3	1.5	0.01861	0.00645	0.08635	0.0944	1953	1921	0.98	4.4	1.5	0.01903	0.0063	0.09135	0.09235
3_8_2	0.33	2728	2642	0.97	3.9	1.6	0.01699	0.00679	0.09019	0.10851	4681	4563	0.97	4.1	1.5	0.01785	0.00667	0.09068	0.10201
3_8_2	0.25	7218	6712	0.93	3.4	1.6	0.01504	0.00708	0.09605	0.13611	11899	11275	0.95	3.7	1.6	0.01617	0.00705	0.09387	0.12347
3_8_2	0.17	29657	23936	0.81	2.7	1.5	0.01183	0.00675	0.10493	0.1901	41556	35211	0.85	3.0	1.6	0.01322	0.00714	0.10139	0.17168
3_8_2	0.08	202020	12743	0.06	1.9	1.4	0.00861	0.00666	1.0	0.0	243576	47954	0.2	2.7	1.6	0.012	0.00731	0.34018	0.42333
3_2_4	1.0	7	7	1.0	6.0	2.4	0.02568	0.01049	0.07372	0.05175	7	7	1.0	6.0	2.4	0.02568	0.01049	0.07372	0.05175
3_2_4	0.92	7	7	1.0	7.4	1.1	0.03202	0.00488	0.10553	0.09662	14	14	1.0	6.7	1.9	0.02885	0.00852	0.08962	0.07627
3_2_4	0.83	45	45	1.0	5.9	1.8	0.02551	0.0077	0.10644	0.10952	59	59	1.0	6.1	1.9	0.0263	0.00796	0.10245	0.10225
3_2_4	0.75	121	119	0.98	6.5	1.7	0.02799	0.00699	0.09184	0.06125	180	178	0.99	6.4	1.7	0.02743	0.00734	0.09536	0.07715
3_2_4	0.67	237	237	1.0	6.0	1.9	0.02561	0.00843	0.09466	0.07877	417	415	1.0	6.2	1.9	0.02639	0.00802	0.09496	0.07799
3_2_4	0.58	409	408	1.0	6.1	1.7	0.02616	0.00781	0.08604	0.07268	826	823	1.0	6.1	1.8	0.02628	0.00791	0.09054	0.07549
3_2_4	0.5	975	972	1.0	5.9	1.8	0.02545	0.00807	0.07977	0.0757	1801	1795	1.0	6.0	1.8	0.02583	0.00801	0.08471	0.07577
3_2_4	0.42	1964	1944	0.99	5.6	1.9	0.02423	0.00859	0.07272	0.08287	3765	3739	0.99	5.8	1.9	0.02499	0.00836	0.07847	0.07976
3_2_4	0.33	4305	4222	0.98	5.2	2.1	0.02279	0.00912	0.06733	0.08913	8070	7961	0.99	5.5	2.0	0.02382	0.00884	0.07257	0.08503
3_2_4	0.25	10273	9802	0.95	4.6	2.1	0.02015	0.00963	0.07045	0.11328	18343	17763	0.97	5.0	2.1	0.0218	0.00946	0.0714	0.1016
